Site Name,Services,Cost,Latitude,Longitude,Site Type,Comments
,,€0.00,59.575857,25.941127,Mixed Parking,Town square
,,€0.00,59.580482,25.967232,Mixed Parking,Beach parking
,,€0.00,59.537952,26.085055,Mixed Parking,Sagadi museum
,,€0.00,59.512895,26.019297,Mixed Parking,"Rear of museum parking, tarmac surface"
,,€0.00,59.348163,26.35047,Mixed Parking,"Rakvere castle. Parking at the side but if you follow the road up to the castle, you can park on top."
,,€0.00,59.348178,26.350426,Mixed Parking,Railway Manor
,,€0.00,58.014014,24.449056,Rest Area,Behind observation tower cracking little spot. Plenty wild life trails and good for bird watching by the beach
,,€0.00,58.01194,24.44948,Mixed Parking,Beach parking.
,,€0.00,57.964642,24.406556,Mixed Parking,Parking in the woods close to the beach.
,,€0.00,58.055869,24.446873,Mixed Parking,Dedicated parking with toilet facilities but no fresh water
,,€0.00,59.147124,26.438189,Wild,Visit the nuclear bunkers.
,,€0.00,59.147128,26.438151,Wild,More bunkers
,,€0.00,58.391129,24.516671,Mixed Parking,Nice spot facing lake
,,€0.00,58.387151,24.492084,Mixed Parking,On the marina. Originally dedicated camper parking but when we arrived construction site.
,,€20.00,59.466263,24.82304,Mixed Parking & Services,"Working port with secure parking. Room for 50 campers. Supermarket and cafe within walking distance. Basic but functional. Price includes toilets, electric and services. Showers €2 extra."
,,€0.00,66.544219,25.851427,Mixed Parking & Services,Santas village. Toilet and basic facilities but no grey waste. Free wifi
,,€0.00,66.532384,25.845525,Mixed Parking & Services,Parking area near recreation area inc outside swim area.
,,€0.00,60.454835,22.239592,Mixed Parking,Parking area near Lidl.
,,€0.00,60.441158,22.246346,Mixed Parking,Parking by the river.
,,€0.00,60.437389,22.235615,Mixed Parking,Castle parking with an 8 hour restriction
,,€0.00,60.432995,22.180109,Mixed Parking,Small parking area.
,,€0.00,60.428221,22.178304,Wild,Car park in pleasant area for walks etc.
,TrashToiletsShowersFresh WaterBlack Water,€0.00,64.084375,23.413688,Wild,Small headland with water and service at the end.
,,€0.00,63.562543,22.72155,Rest Area,Parking spot on lake next to plastic elks
,,€0.00,63.290793,22.369205,Mixed Parking,Picnic area
,,€0.00,63.157316,21.998374,Rest Area,At the side of a lake - good for bird watching
,,€0.00,62.206954,21.519953,Rest Area,Lay-by next to main road.
,,€0.00,61.489658,21.78388,Mixed Parking,Garage and parking on river. Better than it sounds.
,,€0.00,66.507897,25.734185,Mixed Parking,Including water and rug drying facilty
,,€0.00,66.011219,24.707245,Mixed Parking,Parking area near a museum
,TrashToiletsFresh Water,€0.00,66.61958,26.185594,Rest Area & Services,Cabin with facilities for fire. Canoeing centre. Great walks all around the area.
,,€0.00,66.545548,25.850319,Service Only,Parking at a fuel station
,,€0.00,65.727706,24.555913,Mixed Parking,Marina
,,€0.00,65.442878,25.373133,Rest Area,Lay-by near a roadside cafe
,,€0.00,65.316182,25.373087,Mixed Parking,Parking area at a fuel station.
,,€0.00,65.289356,25.372859,Mixed Parking,Parking area at a fuel station.
,,€0.00,65.009218,25.453092,Wild,Small marina  / boat yard
,,€0.00,64.694377,24.680143,Rest Area,Plus nice walks in and around the woods.
,,€0.00,64.623856,24.424274,Rest Area & Services,Parking area near a cafe.
Martinjarvi Erilli,,€0.00,68.827121,27.288619,Rest Area,Small tarmac parking area just set back from the road. Nice walking in the surrounding trees too.
,,€0.00,68.807401,27.36122,Rest Area,Parking by a lake on a small side road.
Saulin Kurvi,,€0.00,68.790403,27.388404,Rest Area,Lay By set back from the main road.
Ohman,,€0.00,68.767074,27.450858,Rest Area,Small parking area by the main road and next to the lake.
Ukonjarvi Info,,€0.00,68.743251,27.447173,Rest Area,Small parking area by the main road and next to the lake.
Hirvasjarvi,,€0.00,68.510163,27.515563,Rest Area,Small parking area by the main road.
Savottakahila,,€0.00,68.39062,27.397165,Rest Area,Large tarmac parking area near a hotel.
Paukkula,Trash,€0.00,68.372124,27.361381,Rest Area,Lay-by next to wooded area just off main road.
,Trash,€0.00,68.341729,27.336275,Rest Area,Lay-bys on both sides of the road.
,,€0.00,68.208825,27.114653,Rest Area,Lay-by next to wooded area just off main road.
,,€0.00,68.10327,27.127941,Wild,Nice tarmac area next to the river. Can also park on the other side of the road.
,,€0.00,68.104444,27.124324,Wild,Nice tarmac area next to the river. Can also park on the other side of the road.
,ToiletsTrash,€0.00,68.038522,27.047248,Rest Area & Services,Parking area by the main road.
,,€0.00,67.912632,26.748873,Rest Area,Parking area near lake
,,€0.00,67.798246,26.778077,Wild,Dirt track next to lake but close to main road.
,,€0.00,67.515325,26.632595,Rest Area,Indicates service area on signs but no services just parking
,,€0.00,67.338888,26.651709,Rest Area,Parking spot next to campsite
,,€10.00,67.020164,26.395638,Rest Area & Services,"Cafe, petrol station and overnight stopping with electricity points for €5 extra"
,Toilets,€0.00,66.885856,26.183541,Rest Area & Services,"Lay-by area with toilets, not very clean though but nice enough spot to stop over."
,Trash,€0.00,66.885465,26.18343,Rest Area,Picnic spot by the main road.
,Trash,€0.00,66.725875,26.280745,Rest Area,Layby
,,€0.00,61.141999,21.480635,Mixed Parking,Good clean spot on the marina.
,,€0.00,61.130792,21.512269,Mixed Parking,Stone church with overnight parking.
,,€0.00,60.894733,21.654918,Rest Area,Lay-by beside main road.
,,€0.00,60.166834,24.979084,Mixed Parking,Car park at side of port. Limited to 10 hours parking but ideal for parking whilst wait for ferry.
,,€0.00,64.253747,23.940494,Mixed Parking,Parking area at church and museum.
,,€0.00,64.231308,23.814065,Mixed Parking,Water park
,,€0.00,64.233892,23.788238,Wild,Beach
,,,65.009421,25.454109,Wild,Parking next to water and park area.
,,€0.00,64.060665,23.654506,Mixed Parking,Pleasant church car park with water available.
,,€0.00,60.428228,22.178722,Wild,"Wild / spare land Small island off Turku, Very quiet and peaceful"
,,€0.00,60.406486,23.215288,Service Only,Services
,,€0.00,60.173108,24.906837,Mixed Parking,Car Park.
,,€0.00,60.171969,24.903232,Mixed Parking,No restrictions and overlooking water
,,€0.00,60.172531,24.902171,Mixed Parking,Quiet spot on large boulder overlooking water. Water pump a few meters away
,,€0.00,60.464287,22.022464,Mixed Parking,Sports complex with toilet facilites
,,€0.00,64.021956,23.500222,Mixed Parking,Church and museum
Ijzerdijk,Trash,€0.00,51.030514,2.853777,Mixed Parking,Free car park at ijzerdijk tower. Quiet except for the odd passing train.  5 minutes walk in to the village centre
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectric,€0.00,43.445732,3.677563,Rest Area & Services,Small free aire for 6 Motorhomes.  Located to one side of a large car park and within walking distance of the town and waters edge
,,€0.00,43.613193,3.887071,Mixed Parking,"Flat level car park.  The car park is metered between 9-6 at €1.30 per hour.  However, if you drive right to the very end near Daikia building there are a dozen parking spots that are not metered.  Quiet at night and within easy walking distance of the city."
,,€0.00,43.644123,3.962388,Mixed Parking,"Flat, leave and quiet along tree lined street. The parking bays are covered with trees, so plenty shelter and also good protection for the rear/front of the van.  Narbonne accessories are only a few kilometres down the road and so unfurl if you need to stay over.  Better than staying on the industrial estate."
,,€0.00,43.82632,4.357532,Mixed Parking,"Nimes city centre is paid parking but this little car park is right on the edge of the paid area, so very close to city.  Off main road, so reasonably quiet but there is still passing traffic and trains"
,Trash,€0.00,43.824272,4.354734,Mixed Parking,"Small car park, flat and tarmaced.  Not far from centre and close by to water tap.  Reasonably quiet but the still  trains at night can be loud.  "
,,€0.00,43.954818,4.546343,Wild,Small piece of land which is only 2km from the Pont du Gard entrance.
,Rubbish,€0.00,49.43018,1.10566,Mixed Parking,"Parking area next to the Seine river, 15 minute walk to the Cathedral. Sports facility next door."
,,€0.00,48.43467,1.49631,Wild,Laybye next to the Les Bords de l'Eure campsite which is closed out of season.
,ToiletsRubbishFresh WaterGrey WaterBlack Water,€0.00,48.43467,1.49631,Campsite,Les Bords de l'Eure campsite closed in winter so cannot comment on facilities. Appeared clean & tidy though.
,,€0.00,47.61593001,0.51135,Mixed Parking,"7€ to park in the day & another 10€ to park overnight although the signs indicate it would be 10€ for everything, Water taps onsite but not working as of 13/12/14. The Chateaux entrance fee is 11€ for adults."
,,€0.00,46.20585,0.16371,Mixed Parking,"Car park located next to the Chateaux, entrance price is €12.50 but free parking, no facilities but right next to the village centre."
,,€0.00,44.865253,0.518078,Mixed Parking,"Car park located near main road so some noise, lots of space though and easy access to the shops at Carrefour."
Aire de Biaritz,Fresh WaterGrey WaterBlack WaterRubbish,€0.00,43.465963,1.571922,Rest Area & Services,"Expensive for what it is, free electricity but no other extra facilities for your money, watch out for the machine on entry as it is easy to pay for 2 nights (max) instead of one.This Aire is only 2 minutes walk from a great beach."
,Trash,€0.00,42.486905,1.944741,Mixed Parking,Loose gravel car park on a bit of a slope.  Nice and quiet and only 5 minutes walk to natural Roman baths.
,Trash,€2.00,42.586207,2.365764,Mixed Parking,Small off the road car park which is idea for visiting the village.  Overnight is free and small parking fee of €2 for the day 9-19.
,Trash,€0.00,43.211733,5.350966,Wild,On the tip of the headland as you look across the bay to Marseille.  Stunning location and right next door to a small fishing village.  No services but well worth it for the peace and view.
,,€0.00,43.117686,5.884093,Mixed Parking,Small car park.  No facilities but Tarmac suface and level.  No restrictions.
,,€0.00,43.127034,5.936636,Mixed Parking,Toulon city centre car park that permits campers.  9-17 €2.50 flat fee but free there after.  Quite a few homeless people in and around camper parking.
,Trash,€0.00,43.102025,6.016674,Mixed Parking,Dusty gravel car park with plenty trees offering shade.  A bit uneven in places but plenty opportunity to find right spot.  Access to two beaches - one nudist and one regular.  Both pebble coves.  Nice and quiet in the evenings.
,,€0.00,43.114064,6.195387,Mixed Parking,Good little car park for free 24 stop over.  No facilities but right on beach and not far from village
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,43.131923,6.230595,Mixed Parking,Small free sire with basic site services . Machine was not in service but plenty space and level Tarmac surface.
,Trash,€0.00,43.149637,6.415975,Wild,Wide pavement / lay by for parking with nice elevated views over the coast.  A few minutes walk to the beach.
,Trash,€0.00,43.185621,6.594047,Mixed Parking,"On street parking.  Flat and Tarmac, right on beach front.  Metered during the day 9-19 which is €1 per hour. May be able to stay overnight out of season."
,,€0.00,43.21983,6.647665,Wild,"Waste land not to far from the beach, land is uneven and not ideal. There is shade though from the trees."
,,€0.00,43.21983,6.647665,Mixed Parking,"Car park located opposite Motorhome stores next to main road, quiet at night and space for about 10 vans."
,,€0.00,43.67725,7.21913,Mixed Parking,"Car park next to cemetery, with shade under some pine trees, dedicated parking for 4 vans but lots of space on the car park, and side street."
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,43.677015,7.201751,Rest Area & Services,"Aired located about 6km from the beach and 1km to town, on main road but very quiet at night. Space for about 10 vans. Black waste goes in the grid with the grey water."
Montée du Souvenir,,€0.00,43.6688,7.144778,Mixed Parking,"Small parking space next to a car park and cemetery, space for 2 vans only. Close to lidl and the town centre, there is a national monument next to it also.Site slopes downhill slightly."
,ToiletsRubbishFresh WaterGrey WaterBlack Water,€0.00,50.96586,1.84347,Rest Area & Services,"Now closed, aire now in located back towards the town centre on your right."
,Trash,€0.00,51.053255,2.414562,Rest Area & Services,"Free aire with space for 30 van, no services but water and toilets available on the promenade which is right next to the aire.Good spot right on the beach"
,TrashToilets,€0.00,51.078026,2.514775,Mixed Parking,Car with permitted motorhome and coach parking. No limits on stay and overnight permitted. One block away from beach front and promenade.  Tourist information building adjacent to the car park.Toilet facilities for fresh water and emptying loo. 
,Trash,€0.00,43.946695,4.795135,Mixed Parking,On street parking located at the side of the river.  Quiet and shaded and not far from town.
,Trash,€0.00,44.058179,4.82877,Mixed Parking,Small car park right next to ruin and great views over vineyards.  No facilities but the location is stunning.  2 minutes to village with plenty options for wine tasting.
,Fresh WaterGrey WaterToiletsTrash,€0.00,43.869822,5.145815,Mixed Parking,Small free car park at lavender museum.  Water tap and tolerates overnight parking.
,Trash,€0.00,43.901133,5.193127,Wild,Large open land just outside of gorges.  No facilities but plenty places to park up 
Lourmarin Chateau,Trash,€0.00,43.762275,5.359397,Mixed Parking,A small little artistic village with chateau.  Parking on the road on a small car park in the village but get very busy in peak season.  Water fountain in town but difficult to fill containers due to limescale build up.
,,€0.00,43.524569,5.460495,Wild,Spare piece of land at the side of the Pays D'Aix football ground.  Large stone surface and flat.  Only 2k to city.
,Trash,€0.00,43.277756,5.355302,Mixed Parking,"Excellent spot for wild camping in a city.  Straight on the front, a couple of miles out of the city and great sunsets.  On a main road, which is quieter in evening.  "
,Trash,€0.00,43.702302,7.116813,Mixed Parking,Dedicated motorhome parking for 7 vans just past the coach parking area. Partial shade from trees. Just a short walk to the village centre. Maximun stay is 48 hours. Makes sure you follow the sign post for the town though as the tomtom takes you down narrow roads that may be a problem for wider vans.
,,€0.00,43.72024,7.111486,Mixed Parking,Parking space located next to supermarket and just on the end of town.  Overnight parking permitted
Abbey Saint Michael de Cuza,TrashToilets,€0.00,42.59482,2.416067,Mixed Parking,Small car park for visiting the abbey with no restrictions.  Toilet facilities just to the left as you enter the abbey grounds.
Chateau de Quéribus,,€0.00,42.839655,2.619388,Mixed Parking,One of the best wild camping spots but not for the faint hearted.  Perched right at the end of the chateau car park on the tip of the rock.  Brilliant 360 views of countryside and chateau.
,,€0.00,42.870006,2.57273,Mixed Parking,Small lay by suitable for overnight stop if visiting the chateau.  Loose gravel on a slope but a few flat spots.
,Trash,€0.00,42.998196,2.256028,Mixed Parking,Plenty room for on street parking with no restrictions. Fresh water near sports facility.  Old town has height restriction of 2.5m
Open air swimming pool,Fresh WaterTrashToiletsShowers,€0.00,43.000472,2.252025,Mixed Parking,"Flat, Tarmac car park right at the side of the open air swimming pool,  fresh water spring and communal washing area.  Two minutes walk in to village with basic village shops. Swimming pool €3 includes toilets and showers."
,,€0.00,43.208924,2.379624,Mixed Parking,"Small car park tucked between two small retail outlets and facing the post office.  The units are unoccupied and free to park.  Flat, Tarmac and level.  Parking inside town €20 for the day."
,,€0.00,43.211409,2.358996,Mixed Parking,Main car parks in city cost €2 per hour or €20 per day.  We found this free parking spot right by the river and overlooking the walled city.  Tarmac and level.  Follow for hospital and then take a right turn under bridge and parking just there.  All marked out and free with no restrictions.
,,€0.00,43.323007,3.289735,Mixed Parking,"Car park with no restrictions.  Great for visiting bricoman, Motorhome accessory shop, supermarket and cheap fuel. Very quiet in the evenings"
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,43.316624,3.284659,Wild,Free to park along the canal and €2 for camper services.  Great view along the canal with colourful barges.  Also aire along the canal
,,€0.00,43.335274,3.208102,Mixed Parking,"Quiet, lose gravel road at the side of the canal and within minutes of town centre.  Right at the side of an old disused lock."
,,€0.00,51.563234,6.485747,Mixed Parking,"Parking area off the main road, no facilities but nice views over the fields, hard surface with a very slight slope in places. "
Freilichtmuseum Muhlenhof,Trash,€0.00,51.9504,7.596256,Mixed Parking,"Flat car park with small bays set amongst trees, bushes and lawned area.  No services and free to park with no time restrictions.  About 2-3km in to centre.Sport facility offers toilets and fresh water"
,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectric,€8.50,50.92336,6.34041,Rest Area & Services,"Good Aire with clean facilities, good shower block located at one end, close to a large park area. Some pitches block paved, most on a large grassy area with no electricity posts. Price includes electricity though."
Kuhhirtenweg,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectric,€13.00,53.065284,8.820188,Campsite,"Campsite 1.2km from centre.  Hard ground, loose gravel surface. Toilet blocks and showers additional charge €1. Electric additional chargeat approx €0.10 per hour. Fresh water €1 for 100 litre. Staff extremely helpful and friendly with city map and info. Fresh bread can be ordered daily and delivered to the door.01739850092"
,Fresh WaterGrey WaterTrash,€5.00,54.152817,10.403975,Rest Area & Services,Dedicated camper parking with the grounds of a larger car park.  Fresh and grey water facilities located at the entrance of the main car park.  Hard surface with nice views over the lake.
,,€20.00,47.558092,9.7006,Rest Area,With fresh water
Hymer Dealer,Electric,€0.00,47.92937,9.761676,Mixed Parking,Small number of parking bays for motorhomes visiting service centre. Electric €1 for 2000w.
,Fresh WaterGrey WaterBlack WaterTrashElectricWi-Fi,€5.00,47.816007,9.797776,Rest Area & Services,"Aire at the back of car park.  Five minutes walk to village, church, Schloss, museums.  Tourist office has free wifi with good connection.In addition to €5 for overnight stay the facilities offer Water €1 for 80lElectric €0.50 for 1000wVery quiet and peaceful location."
,Fresh WaterGrey WaterBlack WaterElectric,€0.00,47.810354,9.63041,Rest Area & Services,Oblong strip at the side of the main coach and car park.  Parking bays divided by tree.  On loose gravel and grass.Empty grey and black €1Fresh water €1 for 100l
,Fresh WaterGrey WaterBlack WaterTrashToiletsElectric,€6.00,47.701636,9.27195,Rest Area & Services,"Three aires/ car parks on one road, all approximately 1 kilometre from village centre. 1. Left at the roundabout and the largest of the 3 aires. €10 per night. 2. Right at the roundabout €10 per night. 3. Just after the no 2 behind fire station €6 per night. All aires are pay and display, not manned and no barriers.  1 and 2 have Euro service point upon entry\exit for additional fee. All loose gravel and stone."
,,€0.00,47.816407,8.660692,Mixed Parking,"Large, concrete & stone car park.  No facilities and permits overnight parking."
,Fresh WaterGrey WaterBlack WaterTrashElectric,€0.00,47.814878,8.1180478,Rest Area & Services,Nice aire for €10 24 hours plus electric and services.  Park around the corner for free.
,,€0.00,47.861016,8.035128,Mixed Parking,Dusty carpark but free with no overnight restrictions.  
,,€0.00,48.706313,9.027543,Mixed Parking,Not the best parking spot but safe and quiet.  It is the main hymer dealer and test centre in Stuttgart. Parking inside or outside of the barriers.
,Fresh WaterTrash,€1.50,48.79859,9.185381,Mixed Parking,Street parking at side of college and cemetery. 1km to main historical elements of Stuttgart.  Quiet and if you park at the end of the road it is level. Paid parking 8-18 at €1.50 for 2 hours. Side gate to cemetery for fresh waterTop of street is the main road and you can catch tram to centre or walk through gardens.
,Trash,€0.00,48.696394,9.185608,Mixed Parking,"Car park next to the airport, there is also an Aire next to it with full services, cost unknown for the Aire."
,Fresh WaterGrey WaterBlack WaterTrashElectric,€3.00,48.8934,9.19754,Mixed Parking,"Car park 200m away from the main sights. Excellent services, electricity is 50 cents for 1/2 KwCosts are €10 for 24 hours but using the parking machine is much cheaper."
,Trash,€0.00,49.17115,8.94185,Mixed Parking,"Small car park behind the bank, very quite but also a recycling point."
,,€0.00,49.39622,8.79543,Mixed Parking,Free car park next to Asci campsite. Right on the river with lovely views and a pleasant town to visit.
,,€0.00,49.39518,8.78828,Mixed Parking,Parking area behind the Rathus. 5 minutes walk into the town centre.
,Fresh WaterToilets,€0.00,49.41239,8.68099,Mixed Parking,"Roadside parking on the opposite side of the river to Heidelberg, great views and close to the centre."
,,€0.00,49.63458,8.375006,Mixed Parking,"Parking area with a camper stop next door, nice walks along the Rhine and 15 mins walk to the centre."
Womoland Oppenheim,,€0.00,49.85624,8.364792,Mixed Parking,"Aire on the edge of town, Grass area and stone. Toilet block was closed in November. Electricity is €3"
,Fresh WaterGrey WaterBlack WaterTrashElectric,€5.00,50.05492,7.77222,Rest Area & Services,Aire located right by the river. Gravel ground and close to the town centre. Electricity is €2.50
,,€0.00,50.26106,7.6466,Mixed Parking,"Roadside parking in the centre of town, water is available at the cemetery just down the road, nice walks or cycle along the edge of the Rhine. Very close the rail tracks but the trains are very quiet."
,Trash,€0.00,50.36547,7.57451,Mixed Parking,"Large car park 3km from centre of the sights, level gravel surface also used by coaches. Surrounded by businesses so quite secure. Just walk along the river bank to get straight into centre. Lidl 400m away on main road behind."
Maria Laach Abbey,TrashToiletsFresh Water,€5.00,50.40362,7.25401,Mixed Parking,"Car park opposite the Abbey close to the Laacher See lake. Probably very busy in summer, campers also allowed next to the campsite 2 miles down the road also €5."
,,€0.00,50.54651,7.24864,Mixed Parking,"Small car park in town for both cars and campers, Level gravel surface backing onto small playing field. Very quiet at night. Centre approx 1km away."
,,€0.00,50.70961,7.13891,Rest Area,"Camper only area outside of centre, Next to major road so some noise but not to bad. Pleasant park just down the road."
,,€0.00,50.95575,6.97393,Wild,Park along the riverbank close to the zoo area. Town is 2km away but walkway straight there. Parking all along this stretch but free nearer the zoo end near the road bridge. and €4 per day elsewhere.
Media ,,€6.00,53.8716,10.678895,Mixed Parking,"Media docks dedicated camper parking located in centre. Hourly rate €1.30 or €6 for the day.  No services but the coach park just opposite does offer toilet facilities. Holds around 12 motorhomes.  Flat, tarmac surface."
,,€0.00,54.105433,10.427924,Mixed Parking,Little village with a number of small parking spaces dotted around the village.
,Fresh WaterTrashToiletsWi-Fi,€0.00,47.605812,12.908802,Mixed Parking,"Tourist information car park. Limited to 2 hours between 8am and 8pm but after 8pm no restrictions.  Toilet behind TI office.  Flat tarmac and reasonable bays for motorhomes.Just off main road but it is a quiet town, so quiet at night."
,,€5.00,47.593066,12.988111,Mixed Parking,"Large car park with motorhome permitted parking to the left behind the garage.  The garage also sells GPL.  Stunning views to hills and lake only 10 minutes walk away.A few grids for emptying grey waste but no toilet facilities.  1 hour, €2 up to €5 for the day."
Documentation Centre,Trash,€0.00,47.630839,13.041076,Mixed Parking,Large car park for visiting the Documentation centre.  P2 is free and no restrictions on overnight  camping.  Reasonably flat but it can run down in places.  If you park near the edge overlooking the centre best views for sunrise.
,,€0.50,47.635746,13.005184,Mixed Parking,Small carpark right in centre of old town looking up to eagles nest.  €0.50 per hour
,,€0.00,47.653587,13.002803,Mixed Parking,Parking on gradient for visiting Maria Gern church.  Please note the car park at the bottom of the road does not permit campers.  
,,€0.00,47.643401,12.984513,Mixed Parking,"Big car park for the spa facility but only open during peak season. Out of season people park up and walk to Maria Gern church, which takes around an hour."
,,€0.00,47.72494,12.658568,Mixed Parking,Large gravel car park mainly used by walkers and runners.  Nice and quiet but no amenities.  Lumberjack museum €4 pp.
